Store ID,Last Week Uptime(hrs),Last Week Downtime(hrs),Last Day Uptime(hrs),Last Day Downtime(hrs),Last Hour Uptime(mins),Last Hour Downtime(mins)
20738117-b5e5-484f-aec5-5ab563a50c1c,73.62144004194444,4.192880385555555,11.35370597388889,0,0,0
83b84e9c-350d-41a4-be0d-8446e448e4c3,98.11246585694444,0,14.21186200861111,0,0,0
52933f5a-25e1-4e3b-9220-7decdc325a41,87.5,0,12.5,0,0,0
ee3549cd-3260-4521-b5c6-05eacb35cabd,80.83333333333333,0,10.833333333333334,0,0,0
c358d514-9862-42d0-84f3-4ddb33a33481,77.81075186333334,0,11.354479304166667,0,0,0
079c8703-2de8-4e41-a0db-7c8b192dc05c,106.93885024666665,0,15.717245165,0,0,0
05f9c84d-2aa9-4d8b-a0c6-b6238a7659dd,95.66939184444445,0,13.71700078111111,0,0,0
26a8bb6c-2f81-408a-a936-b6f6574d0fde,94.45,0,10.5,0,0,0
1be20229-6d59-4535-ad12-8d1807b572cd,106.64029766277778,17.074598773055556,14.859635589444444,3.010269667777778,0,0
bb166fd9-8edf-486c-80c4-dd3bc5211245,46.17676601944445,22.298521068055557,6.816584270833333,3.2037305755555554,0,0
9cfa089e-f364-4ab7-aa19-37f997189dad,92.99944444444444,0,13.0,0,0,0
aa18d583-5a3c-4c25-a5e0-fdefe2c8a1e6,77.81176138388889,0,11.353875397777777,0,0,0
9fe432c5-c053-4951-abdc-4e8a5c1b3256,1.0052019597222221,178.08230426333333,1.0052019597222221,25.02904473527778,60.0,0
ca75ffa3-fa81-4e2a-b055-d83fff620825,74.66666666666666,0,10.666666666666666,0,0,0
cd57be93-08e2-499d-9234-af680801b4e7,99.99805555555555,0,13.999722222222223,0,0,0
8bd33f23-8238-4908-9b13-7aacf1737e49,100.87324923166668,1.0,14.459073283333332,0,0,0
29de0916-90ff-466e-8830-2ba72fa84768,68.64824402027777,23.943809038611114,13.636377031944445,0,0,0
386f79c0-35b4-49a7-b55a-a0aa72a5c5be,73.5,0,10.5,0,0,0
163431ef-05e2-490f-b32c-fab9f9b9bcf9,101.91806863805554,0,14.467343242222222,0,0,0
bde8333e-2e73-498d-a4cb-df5972476205,77.2234870647222,0,11.270434520277778,0,0,0
7bae1884-0c0f-4902-9aac-b0a85341aa89,106.92125621055555,0,15.718487063888887,0,0,0
53434e6e-8131-426f-8b0e-b99275b3e1b4,107.16383283666667,0,15.220437539999999,0,0,0
